chr,span,n_markers,top_marker,top_pos,top_p,tier,gene,gene_span,location,function
chr1A,"503,376,283-503,376,283",1,BS00065324_51,503376283,1.81342341134119e-05,suggestive,TraesCS1A02G311900,"503,376,187-503,377,729",intragenic,basic leucine zipper 23
chr1A,"579,864,806-579,864,806",1,BS00083500_51,579864806,4.50053280535962e-05,suggestive,TraesCS1A02G425000,"579,864,119-579,869,349",intragenic,uncharacterized
chr1B,"159,183,506-159,183,506",1,Tdurum_contig42092_348,159183506,1.57444873454545e-05,suggestive,TraesCS1B02G129200,"159,203,247-159,204,267",19 kb away,transcription factor AIG1
chr1B,"530,472,799-530,472,799",1,GENE-0410_71,530472799,1.60086683753155e-05,suggestive,TraesCS1B02G307500,"530,466,661-530,473,245",intragenic,sorting nexin 2B
chr1B,"671,606,956-673,743,486",5,BS00023105_51,672333834,1.02225611688003e-05,genome-wide(M_eff),TraesCS1B02G457600,"672,333,442-672,338,565",intragenic,"stomatin-like protein 2, mitochondrial"
chr2A,"51,583,880-51,583,880",1,wsnp_JD_rep_c48914_33168544,51583880,4.29338850436683e-05,suggestive,TraesCS2A02G098100,"51,582,205-51,584,262",intragenic,calmodulin-1
chr2B,"18,939,170-18,939,170",1,Excalibur_c14396_1629,18939170,5.29898784947862e-07,genome-wide(M_eff),TraesCS2B02G041600,"18,938,082-18,952,681",intragenic,uncharacterized
chr2B,"592,039,350-592,585,054",3,BS00064448_51,592039350,6.77032654375957e-06,genome-wide(M_eff),TraesCS2B02G414300,"592,058,556-592,061,584",19 kb away,ferric reduction oxidase 2
chr2B,"709,829,853-709,829,853",1,BobWhite_c39437_82,709829853,1.43131507666893e-05,genome-wide(M_eff),TraesCS2B02G514900,"709,829,298-709,832,528",intragenic,uncharacterized LOC123046930
chr2D,"457,407,401-457,407,401",1,Kukri_c46100_246,457407401,1.95923747455118e-05,suggestive,TraesCS2D02G355200,"457,407,054-457,413,648",intragenic,nucleolar protein dao-5
chr3A,"691,106,874-691,106,874",1,BS00022256_51,691106874,1.10744885847133e-05,genome-wide(M_eff),TraesCS3A02G453200,"691,107,122-691,112,178",0 kb away,autophagy-related protein 18a
chr3B,"140,686,794-140,686,794",1,IAAV5136,140686794,1.69927295980199e-05,suggestive,TraesCS3B02G149200,"140,686,218-140,689,149",intragenic,uncharacterized
chr4B,"21,553,891-21,553,891",1,Kukri_c52413_282,21553891,4.68803976358524e-05,suggestive,TraesCS4B02G029300,"21,550,605-21,554,291",intragenic,protein enabled
chr5A,"11,054,952-11,054,952",1,wsnp_Ex_c11992_19213872,11054952,1.72719834905022e-05,suggestive,TraesCS5A02G015600,"11,054,292-11,069,752",intragenic,uncharacterized
chr5A,"613,479,932-613,479,932",1,RAC875_rep_c112818_870,613479932,3.6688308098531e-05,suggestive,TraesCS5A02G428800,"613,477,485-613,482,016",intragenic,25.3 kDa vesicle transport protein
chr5B,"439,725,143-439,725,143",1,wsnp_Ex_c6548_11355524,439725143,3.53152459383818e-05,suggestive,TraesCS5B02G257300,"439,723,270-439,727,743",intragenic,probable WRKY transcription factor 2
chr5B,"605,480,892-605,480,892",1,RFL_Contig2772_1693,605480892,6.15369864633075e-08,genome-wide(M_eff),TraesCS5B02G430100,"605,477,274-605,486,410",intragenic,probable aldehyde oxidase 2
chr6A,"93,766,122-97,809,627",4,TA004558-1018,97809627,5.00662301664441e-06,genome-wide(M_eff),TraesCS6A02G123800,"97,808,607-97,829,562",intragenic,uncharacterized
chr6B,"32,328,013-32,328,013",1,BS00029386_51,32328013,7.63769609240483e-06,genome-wide(M_eff),TraesCS6B02G052900,"32,323,747-32,328,482",intragenic,F-box/kelch-repeat protein SKIP4
chr7B,"565,911,626-568,001,173",4,Kukri_c51296_438,565911626,1.58009139234651e-05,suggestive,TraesCS7B02G316600,"565,908,841-565,917,820",intragenic,uncharacterized
