scan,locus,chr,start,end,n_snp,tier,lead,p,maf,closest_gene,candidate_genes,n_genes_window
Control,Co-L01,1,3086333,3086333,1,suggestive(1/M),ud1000187,8.48137733085702e-06,0.44797944867108,"LOC_Os01g06550(0kb,NF-X1-type zinc finger protein, putative)","LOC_Os01g06560(5kb,transcription factor HBP-1b, putative, e); LOC_Os01g06600(22kb,glutaryl-CoA dehydrogenase, mitochondria); LOC_Os01g06630(38kb,small hydrophilic plant seed protein, pu)",112
Control,Co-L02,1,7394143,7394143,1,significant(Meff),id1005779,1.26417093556145e-06,0.0893461839020578,"LOC_Os01g13260(0kb,cyclin-A1, putative, expressed)","LOC_Os01g13260(0kb,cyclin-A1, putative, expressed); LOC_Os01g13270(6kb,AGC_PVPK_like_kin82y.4 - ACG kinases inc); LOC_Os01g13229(20kb,cyclin-A1, putative, expressed)",68
Control,Co-L03,1,28735989,29122484,2,significant(Meff),id1017178,1.53010302361041e-08,0.403573449163214,"LOC_Os01g50700(0kb,dehydrin family protein, expressed)","LOC_Os01g50700(0kb,dehydrin family protein, expressed); LOC_Os01g50720(10kb,MYB family transcription factor, putativ); LOC_Os01g50960(158kb,RNA polymerase II transcriptional coacti)",150
Control,Co-L04,1,33036419,33036419,1,suggestive(1/M),id1020548,1.0624596606392e-05,0.208213944603629,"LOC_Os01g57160(0kb,transposon protein, putative, CACTA, En/)","LOC_Os01g57350(101kb,diacylglycerol kinase, putative, express); LOC_Os01g57420(149kb,diacylglycerol kinase, putative, express); LOC_Os01g57450(164kb,universal stress protein domain containi)",71
Control,Co-L05,1,42396090,42683705,5,significant(Meff),id1027930,5.80750457399725e-12,0.0956815390912812,"LOC_Os01g73514(1kb,5-oxoprolinase, putative, expressed)","LOC_Os01g73470(21kb,growth inhibition and differentiation-re); LOC_Os01g73450(32kb,amino acid kinase, putative, expressed); LOC_Os01g73370(71kb,S-locus lectin protein kinase family pro)",142
Control,Co-L06,2,3559827,3559827,1,suggestive(1/M),id2001942,9.86555282260127e-06,0.154346765835518,"LOC_Os02g06980(5kb,expressed protein)","LOC_Os02g06930(51kb,protein kinase, putative, expressed); LOC_Os02g06910(67kb,auxin response factor 6, putative, expre); LOC_Os02g07110(96kb,OsSAUR6 - Auxin-responsive SAUR gene fam)",79
Control,Co-L07,2,18278053,18278053,1,significant(Meff),wd2001881,3.3141166922044e-07,0.364656333068664,"LOC_Os02g30670(0kb,expressed protein)","LOC_Os02g30700(12kb,MYB family transcription factor, putativ); LOC_Os02g30714(18kb,dehydrogenase/reductase, putative, expre); LOC_Os02g30810(93kb,OsSAUR10 - Auxin-responsive SAUR gene fa)",71
Control,Co-L08,2,19285184,19285184,1,suggestive(1/M),id2007540,7.75982771339196e-06,0.131305561678055,"LOC_Os02g32560(6kb,retrotransposon protein, putative, LINE )","LOC_Os02g32610(39kb,protein kinase domain containing protein); LOC_Os02g32680(104kb,lectin receptor-type protein kinase, put); LOC_Os02g32370(159kb,inositol hexaphosphate kinase, putative,)",61
Control,Co-L09,3,1554678,1554678,1,suggestive(1/M),id3000846,1.90886108870924e-05,0.224099704627986,"LOC_Os03g03560(0kb,FHA domain containing protein, putative,)","LOC_Os03g03550(1kb,bZIP family transcription factor, putati); LOC_Os03g03570(7kb,leucine-rich repeat transmembrane protei); LOC_Os03g03510(35kb,CAMK_KIN1/SNF1/Nim1_like.15 - CAMK inclu)",81
Control,Co-L10,3,4343854,4343854,1,significant(Meff),id3002485,1.08394313020407e-08,0.0712352753900032,"LOC_Os03g08460(0kb,AP2 domain containing protein, expressed)","LOC_Os03g08630(100kb,NAD-dependent epimerase/dehydratase, put); LOC_Os03g08170(165kb,protein kinase APK1B, chloroplast precur); LOC_Os03g08850(240kb,AUXIN SIGNALING F-BOX 2, putative, expre)",85
Control,Co-L11,3,5451876,5451876,1,significant(Meff),id3003216,3.95885234043148e-06,0.246237369929121,"LOC_Os03g10670(2kb,expressed protein)","LOC_Os03g10650(8kb,cyclin, putative, expressed); LOC_Os03g10500(105kb,adenylyl-sulfate kinase, putative, expre); LOC_Os03g10940(164kb,casein kinase II subunit alpha-2, putati)",84
Control,Co-L12,3,10217856,10217856,1,significant(Meff),id3005273,2.64450175027617e-07,0.445391826856205,"LOC_Os03g18220(0kb,pyruvate decarboxylase isozyme 2, putati)","LOC_Os03g18170(30kb,STE_MEKK_ste11_MAP3K.13 - STE kinases in); LOC_Os03g18330(57kb,transcription factor like protein, putat); LOC_Os03g18340(59kb,transcription factor like protein, putat)",78
Control,Co-L13,3,15401387,15418196,3,significant(Meff),id3007750,2.52398778395835e-06,0.19714027504361,"LOC_Os03g26960(0kb,intron-binding protein aquarius, putativ)","LOC_Os03g27080(88kb,calmodulin-binding transcription activat); LOC_Os03g27090(96kb,MYB family transcription factor, putativ); LOC_Os03g26820(107kb,LTPL52 - Protease inhibitor/seed storage)",73
Control,Co-L14,4,14121505,14176927,3,suggestive(1/M),id4004166,7.45651855798985e-06,0.348859788297142,"LOC_Os04g24590(0kb,retrotransposon protein, putative, Ty3-g)","LOC_Os04g24510(60kb,OsWAK36 - OsWAK receptor-like protein ki); LOC_Os04g24430(108kb,sucrose synthase, putative, expressed); LOC_Os04g24290(206kb,wall-associated receptor kinase 3 precur)",77
